match_id,team,avg_passes_per_pos,pct_long_passes,padj_box_entries,pct_shots_set_piece,avg_def_height,ppda,pct_counterpress
3825671,Celta Vigo,3.55,13.21,3.95,33.33,50.3,2.57,31.05
3825671,Sporting Gijón,2.57,19.18,5.76,50.0,58.32,3.69,39.11
3825672,Málaga,1.88,22.15,5.85,83.33,42.8,4.98,26.12
3825672,Granada,2.25,23.8,4.33,27.27,54.7,1.93,28.96
3825670,Levante UD,2.92,14.56,5.56,50.0,56.72,2.19,21.4
3825670,Real Betis,2.31,18.77,3.46,54.55,52.97,3.35,31.18
3825669,Getafe,1.61,22.55,5.93,46.67,56.53,2.08,26.48
3825669,Rayo Vallecano,2.23,14.92,3.29,37.5,55.18,1.85,37.74
3825668,Sporting Gijón,3.17,16.46,5.28,50.0,56.49,2.08,24.21
3825668,Levante UD,2.87,16.07,3.57,69.23,48.39,4.0,29.55
3825666,Real Betis,2.71,16.27,2.61,71.43,50.61,3.74,24.04
3825666,Atlético Madrid,3.45,9.18,2.53,54.55,55.3,2.54,30.17
3825665,Granada,1.45,29.43,2.84,37.5,51.58,4.74,28.25
3825665,Athletic Club,3.11,17.96,5.7,83.33,55.08,1.95,36.65
3825667,Villarreal,2.65,13.75,4.14,33.33,55.14,2.07,36.06
3825667,Eibar,1.98,20.35,6.28,23.53,51.61,2.91,20.43
3825664,Real Sociedad,2.78,15.73,3.07,64.29,54.09,2.16,25.0
3825664,Sevilla,2.09,20.9,3.44,92.31,56.59,2.52,26.43
3825662,RC Deportivo La Coruña,1.89,20.74,3.69,0.0,52.09,2.56,28.36
3825662,Celta Vigo,2.96,12.52,3.18,42.86,57.36,1.8,35.42
3825888,Valencia,2.11,16.46,4.3,44.44,53.38,2.74,18.39
3825888,Las Palmas,3.39,12.06,2.06,44.44,60.08,2.17,34.74
3825663,Espanyol,2.09,21.05,4.16,37.5,50.19,3.07,21.53
3825663,Málaga,2.85,14.23,5.46,46.67,58.49,1.92,31.71
3825659,Athletic Club,1.84,23.32,6.12,75.0,59.02,2.21,31.17
3825659,Espanyol,2.28,16.39,3.33,40.0,50.26,2.36,32.97
3825658,Atlético Madrid,4.15,11.55,6.13,66.67,63.86,1.86,40.2
3825658,Sporting Gijón,1.72,35.31,2.64,66.67,42.1,7.12,21.58
3825660,Barcelona,3.82,8.3,5.39,45.0,61.06,2.37,33.69
3825660,Villarreal,2.22,12.97,0.75,60.0,49.37,4.77,29.14
3825661,Sevilla,2.85,13.57,2.4,26.67,48.29,3.8,23.15
3825661,Real Madrid,3.85,11.44,2.61,32.14,53.43,3.88,28.74
3825656,Levante UD,2.85,16.17,3.79,76.47,56.49,2.52,27.75
3825656,RC Deportivo La Coruña,2.45,20.42,2.58,55.56,48.62,4.73,23.9
3825657,Málaga,2.96,15.89,5.3,50.0,59.31,1.9,33.47
