match_id,team,xg_for,xg_against
3825610,Sporting Gijón,1.668,1.402
3825610,Real Betis,1.402,1.668
3825606,Real Madrid,3.354,0.672
3825606,Málaga,0.672,3.354
3825605,Sevilla,2.093,0.659
3825605,Rayo Vallecano,0.659,2.093
3825604,Valencia,1.365,0.992
3825604,Granada,0.992,1.365
3825603,Real Betis,1.092,0.325
3825603,RC Deportivo La Coruña,0.325,1.092
3825602,Athletic Club,1.483,2.634
3825602,Real Madrid,2.634,1.483
3825600,Málaga,0.838,0.91
3825600,Villarreal,0.91,0.838
3825599,Espanyol,1.754,0.65
3825599,Valencia,0.65,1.754
3825597,Las Palmas,0.767,1.336
3825597,Rayo Vallecano,1.336,0.767
3825596,RC Deportivo La Coruña,1.058,0.953
3825596,Sporting Gijón,0.953,1.058
3825594,Sevilla,1.099,0.796
3825594,Celta Vigo,0.796,1.099
3825593,Eibar,0.323,1.499
3825593,Atlético Madrid,1.499,0.323
3825592,Real Sociedad,1.51,1.853
3825592,Espanyol,1.853,1.51
3825591,Valencia,1.684,0.153
3825591,Real Betis,0.153,1.684
3825590,Real Madrid,2.492,1.171
3825590,Granada,1.171,2.492
3825589,Getafe,0.945,0.611
3825589,Málaga,0.611,0.945
3825588,Rayo Vallecano,0.677,1.337
3825588,RC Deportivo La Coruña,1.337,0.677
3825587,Athletic Club,1.443,0.598
3825587,Getafe,0.598,1.443
3825586,Málaga,1.027,0.841
3825586,Eibar,0.841,1.027
3825585,Celta Vigo,4.287,1.245
3825585,Las Palmas,1.245,4.287
3825583,Sporting Gijón,1.097,1.623
3825583,Valencia,1.623,1.097
3825582,Real Betis,0.526,0.699
3825582,Real Sociedad,0.699,0.526
3825581,Espanyol,1.75,3.399
3825581,Real Madrid,3.399,1.75
3825580,Levante UD,1.436,0.992
3825580,Sevilla,0.992,1.436
3825578,Eibar,1.408,0.338
3825578,Athletic Club,0.338,1.408
3825577,Getafe,0.576,1.222
3825577,Granada,1.222,0.576
3825576,Valencia,1.554,0.792
3825576,RC Deportivo La Coruña,0.792,1.554
3825575,Las Palmas,0.699,0.146
3825575,Levante UD,0.146,0.699
3825574,Celta Vigo,2.158,0.125
3825574,Rayo Vallecano,0.125,2.158
3825573,Real Sociedad,0.906,0.225
3825573,Sporting Gijón,0.225,0.906
3825571,Villarreal,1.476,0.592
3825571,Espanyol,0.592,1.476
3825569,Levante UD,0.486,1.685
3825569,Celta Vigo,1.685,0.486
3825568,Real Betis,1.603,1.097
3825568,Villarreal,1.097,1.603
3825567,Sporting Gijón,0.28,1.503
3825567,Real Madrid,1.503,0.28
3825566,Rayo Vallecano,0.7,1.693
3825566,Valencia,1.693,0.7
3825565,Espanyol,0.287,1.35
3825565,Getafe,1.35,0.287
3825564,RC Deportivo La Coruña,0.598,1.08
3825564,Real Sociedad,1.08,0.598
3825563,Atlético Madrid,0.539,0.5
3825563,Las Palmas,0.5,0.539
266498,Barcelona,2.931,0.265
266498,Getafe,0.265,2.931
266986,Real Betis,0.086,2.134
266986,Barcelona,2.134,0.086
267533,Barcelona,0.725,1.321
267533,Real Madrid,1.321,0.725
266310,RC Deportivo La Coruña,1.625,4.034
266310,Barcelona,4.034,1.625
267576,Barcelona,0.571,0.68
267576,Atlético Madrid,0.68,0.571
